name,lat,lon
P-GH55410B_-431_368.8_N235_GW.22,2752.753,2929.304
P-HS1044E_+054_412.8_N286_GW.21,3679.092624,6546.707412
P-HS1044F_+054_395.8_N286_GW.21,3679.092624,6546.707412
P-HS1044D_+054_404.8_N286_GW.21,3679.092624,6546.707412
PF-V2-0200-A_+003_409.1_N294_GW.21,2669.236,6711.656
PD-V2-0400-A_+003_423.8_N295_GW.21,2602.353,6525.039
PF-V2-0400-B_+003_419.3_N296_GW.21,2600.327,6520.482
PF-V2-0400-C_+003_409.1_N297_GW.21,2598.631,6515.981
PD-V2-0500-A_+003_424.9_N298_GW.21,2560.07,6434.845
PF-V2-0500-B_+003_420.8_N299_GW.21,2557.85,6430.438
PF-V2-0700-A_+004_423.9_N300_GW.21,2422.864,6278.909
PD-V2-0700-B_+004_415.6_N301_GW.21,2427.071,6282.198
PD-VR-0200-A_-004_427.1_N302_GW.21,2279.51,6419.114
PF-VR-0200-B_-004_421.5_N303_GW.21,2275.916,6422.488
PD-VR-0375-A_-004_427.2_N304_GW.21,2187.339,6564.158
PF-VR-0375-B_-004_410.3_N305_GW.21,2185.908,6568.99
PF-VR-0375-C_-004_404.5_N306_GW.21,2181.556,6583.21
P-CD48000A_-40_389.1_N024_GW.20,4805.48,3859.3
P-GH54800A_-231_385.3_N002_GW.20,3457.011,3026.655
P-GH54800B_-232_395.7_N002_GW.20,3456.762,3027.654
VST-GH55200A_+005_362.0_N197_GW.20,3175.459,2657.256
VST-GH55200B_+024_357.6_N198_GW.21,3181.79,2639.87
P-GH55200A_-183_370.0_N207_GW.21,3104.208,2831.788
P-GH55200B_-099_367.0_N208_GW.21,3135.731,2753.71
P-GH55100A_-235_383.5_N001_GW.20,3190.933,2922.841
P-GH55100B_-235_391.5_N001_GW.20,3190.355,2922.342
P-GH55100C_-234_371.6_N001_GW.20,3191.261,2921.599
P-GH55413C_-235_348.4_N022_GW.20,2877.483,2773.333
P-GH55413D_-235_365.4_N022_GW.20,2877.93,2773.927
P-GH55413E_-236_391.4_N022_GW.20,2877.415,2774.351
P-GH55413G_-805_362.9_N241_GW.22,2605.55,3274.735
P-GH55413H_-805_375.4_N241_GW.22,2605.55,3274.735
P-GH55413I_-805_394.9_N241_GW.22,2605.55,3274.735
P-GH55413J_-805_402.4_N241_GW.22,2605.55,3274.735
P-GH55402A_+133_327.7_N269_GW.20,3055.432,2450.902
P-GH55402B_+133_341.7_N269_GW.20,3055.432,2450.902
P-GH55410A_-431_358.3_N235_GW.22,2752.753,2929.304
P-HS1044C_+004_415.3_N029_GW.20,3654.526,6502.643
P-HS1044B_+004_409.7_N029_GW.20,3650.926,6503.235
P-HS1044A_+004_403.8_N029_GW.20,3653.96,6503.39
P-HS0746D_+057_411.0_N56862_GW.21,3892.112198,6546.657473
P-HS0746E_+057_402.1_N56862_GW.21,3892.112198,6546.657473
P-HS0746F_+057_381.8_N56862_GW.21,3892.112198,6546.657473
P-HS0746G_+057_393.2_N56862_GW.21,3892.112198,6546.657473
P-AB46182B_-394_358.6_N233_GW.21,5181.592,5143.32
P-AB46182C_-394_414.1_N233_GW.21,5181.592,5143.32
P-GH55950C_-302_372.2_N043_GW.21,2392.773,2598.477
P-AB46763C_-225_399.9_N244_GW.21,5332.127,4807.448
P-AB46182A_-394_399.6_N233_GW.21,5181.592,5143.32
